Simulation Duration,Received Current Data,Received Voltage Data,METEOR,Received Humidty Data,Received Wind Speed Data,Received Global Irradiance Data,Up Time,ToCurrent,ToRad,ToHum,ToTemp,ToVoltage,ToWind,wimax,wlan,totalUpload,turbinEthernetDelay,TurbinUploadResponseTime,WCNV,WGEN,WMET,WNAC,WROT,WTOW,WTRF,WTRM,WYAW,WifiYerelUploadTime,wirelessGESDelay,INVERTERAKIMwifiges,INVERTERVOLTAJwifiges,RADYANTISIMAwifiges,RUZGARHIZIwifiges,METEORwifiges,FtpUploadResponseTimesecwifiLoc,WirelessLANDelaysecwifiLoc,TurbinZigBeeApplicationTrafficReceived,TurbinZigBeeApplicationEndtoendDelayseconds,GESYerelZigbee1EndtoendDelayseconds,GESYerelZigBeeApplicationTrafficReceivedbitssec,Senaryo1WimaxDelay,Senaryo1WifiDelay,TrafficReceivedbytessecINVERTERAKIM,TrafficReceivedbytessecINVERTERVOLTAJ,TrafficReceivedbytessecMETEOR,TrafficReceivedbytessecRADYANTISIMA,TrafficReceivedbytessecRUZGARHIZI,TrafficReceivedbytessecWCNV,TrafficReceivedbytessecWGEN,TrafficReceivedbytessecWMET,TrafficReceivedbytessecWNAC,TrafficReceivedbytessecWROT,TrafficReceivedbytessecWTOW,TrafficReceivedbytessecWTRF,TrafficReceivedbytessecWTRM,TrafficReceivedbytessecWYAW,eksen0,eksen1,eksen2,eksen3,eksen4,eksen5,eksen6,eksen7,eksen8,eksen9,eksen10,eksen11,eksen12,eksen13,eksen14,sim1total,Senaryo1uploadResponseTime,Senaryo2UTPEthernet Delay,Senaryo2WimaxDelay,Senaryo2uploadResponseTime,TOTALReceivedAllScenario,fiberdelay,fiberresponse
60,14400,14400,10,2,6,200,0.154341295561,158400,2200,22,22,158400,66,0.044188852947,0.001534701292,0.397103955138,0.000522438062,0.01438512584,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.148406951475,0.028425737519,14400,14400,200,6,10,0.125583071209,0.005853625231,86715,30,31,25997,0.048757448316,0.000408634509,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474922977046,0.000149878842,0.050627025514,0.423157080151,684460,0.000071407301,0.068110891657
66,14400,14400,10,2,6,200,0.153533349331,158400,2200,22,22,158400,66,0.044188885109,0.001529505707,0.397095688977,0.000522585071,0.014388631432,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.144645940805,0.027428043627,14400,14400,200,6,10,0.184639301703,0.005959038175,86486,33,36,28542,0.048762373229,0.000407869202,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.47468476032,0.000149934815,0.050557235262,0.422368444621,684460,0.000071321964,0.068112815542
72,14400,14400,10,2,6,200,0.153019229508,158400,2200,22,22,158400,66,0.04418772095,0.001532575976,0.397088494821,0.000522585529,0.014388628784,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.146849791638,0.028248736167,14400,14400,200,6,10,0.126457966474,0.005914401246,87746,37,40,28445,0.04877011538,0.00040870247,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474669867777,0.000149956277,0.050543472976,0.423015416961,684460,0.000071586481,0.068145279485
78,14400,14400,10,2,6,200,0.153358376309,158400,2200,22,22,158400,66,0.044183774154,0.001528525588,0.397082426273,0.00052258556,0.014388623249,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.157767284721,0.028164759244,14400,14400,200,6,10,0.12527691437,0.006138826269,86333,4,45,28960,0.048776335382,0.000408230002,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474910629272,0.000149963033,0.050612111425,0.422907777826,684460,0.000071271229,0.067993556258
84,14400,14400,10,2,6,200,0.153039381686,158400,2200,22,22,158400,66,0.044181085147,0.001526326909,0.397086135939,0.000522584712,0.014388625775,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.148573456955,0.028441396187,14400,14280,200,6,10,0.063169193672,0.006382378698,90532,5,47,28799,0.048777578866,0.00040956129,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474617373394,0.000149934754,0.050529105516,0.422557658849,684460,0.000071556687,0.068091193288
90,14400,14400,10,2,6,200,0.153468539741,158400,2200,22,22,158400,66,0.044181884069,0.001527529476,0.397085780613,0.000522584675,0.014388618563,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.159905910576,0.028554040708,14400,14520,200,6,10,0.125678823856,0.006091422085,88089,46,50,27060,0.048780296076,0.00041073328,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474546928272,0.000149901582,0.0505229627,0.422720339712,684460,0.000071624742,0.068062298503
96,14400,14400,10,2,6,200,0.153349466736,158400,2200,22,22,158400,66,0.044177994247,0.001528631495,0.397112275882,0.000522585807,0.014388621199,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.151444298651,0.028584522897,14400,14400,200,6,10,0.126132186179,0.005928096924,86639,49,55,25868,0.048783286576,0.000409620107,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474720894297,0.000149962144,0.050575861845,0.422483385182,684460,0.000071462042,0.068117166841
102,14400,14400,10,2,6,200,0.153074504603,158400,2200,22,22,158400,66,0.04417509246,0.001529093568,0.397089717878,0.000522584377,0.014388613189,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.148400148332,0.027978684367,14400,14400,200,6,10,0.061927131029,0.006227241489,85799,53,55,25900,0.048786234672,0.000409116877,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474897035761,0.000149878806,0.050611739572,0.422572006051,684460,0.000071395193,0.068107956049
108,14400,14400,10,2,6,200,0.152759188199,158400,2200,22,22,158400,66,0.044173771443,0.001528997818,0.397125125364,0.00052258637,0.014388623474,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.14708349293,0.028066594222,14400,14400,200,6,10,0.126344042421,0.006178128488,85799,56,6,27092,0.048791376237,0.00040768048,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474863103094,0.00014991642,0.050581226248,0.422927210691,684460,0.000071388131,0.068224108071
114,14400,14400,10,2,6,200,0.152626218723,158400,2200,22,22,158400,66,0.044177860204,0.00152687344,0.397148593704,0.000522584453,0.014388604541,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.150099798687,0.02843445229,14400,14400,200,6,10,0.063113055706,0.006337360603,88089,59,66,27672,0.048791250188,0.000407968645,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474577132537,0.00014998682,0.050554856232,0.422004815973,684460,0.000071344552,0.068079410499
