timesec,GESYerelEthenetFtpUploadResponseTimesec,GESYerelEthenetFtpTrafficSentbytes/sec,GESYerelEthenetEthernetDelaysec,INVERTERAKIM,INVERTERVOLTAJ,RUZGAR,METEOR,RADYANTISIMA,TurbinEthernetFtpUploadResponseTimesec,WCNV,WGEN,WMET,WNAC,WROT,WTOW,WTRF,WTRM,WYAW,TurbinEthernetEthernetDelaysec,TurbinZigBeeApplicationTrafficReceived,TurbinZigBeeApplicationEndtoendDelayseconds,GESYerelZigbee1EndtoendDelayseconds,GESYerelZigBeeApplicationTrafficReceivedbits/sec
0.0,0.008912268114,53080,0.001390950816,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.214085000171,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000534719922,26106,1,1,18000
6.0,0.007937760653,53080,0.001294936906,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.114236806768,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000528653496,60456,2,2,23420
12.0,0.008347763632,53080,0.001285388857,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.080953489075,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000526606253,85914,4,6,27285
18.0,0.008087224603,53080,0.0012703731,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.064312271388,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000525600947,88585,8,11,27801
24.0,0.007463994115,53080,0.001228936975,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.054327541779,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000524998077,88127,2,15,27414
30.0,0.007591282885,53080,0.001203311465,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.047671051495,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000524595893,89997,14,20,26899
36.0,0.00877818882,53080,0.001226964394,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.042916170343,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000524298169,85914,2,22,27156
42.0,0.008892348594,53080,0.001246968698,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.039350227046,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000524084185,86448,20,25,27350
48.0,0.007620611881,53080,0.001224613339,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.036576714587,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523917628,85494,24,26,28123
54.0,0.008182918653,53080,0.001224822168,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.034357906577,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523784413,88127,27,3,27478
60.0,0.008164941606,53080,0.001228987434,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.032542199237,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523662018,86715,30,31,25997
66.0,0.008457484372,53080,0.001239717893,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.03102940192,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523572272,86486,33,36,28542
72.0,0.007634625316,53080,0.001228770146,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.029749342448,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523496369,87746,37,40,28445
78.0,0.008088005025,53080,0.001228181153,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.028652148219,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523431311,86333,4,45,28960
84.0,0.007616543086,53080,0.001221778797,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.027701246723,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523374871,90532,5,47,28799
90.0,0.007993520942,53080,0.001219413681,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.026869207463,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523325484,88089,46,50,27060
96.0,0.00752341604,53080,0.001211001974,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.02613505533,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523281974,86639,49,55,25868
102.0,0.019299554529,53080,0.001217857829,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.025482475211,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523243218,85799,53,55,25900
108.0,0.008423618569,53080,0.001222562892,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.024898588277,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523208647,85799,56,6,27092
